locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
735318,Ziaurehman Amini,Push Cart,30727000,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,234017,234,17,15MFF-0159,REQUESTED,,6013916.72,2117244.027,37.7943310032468,-122.395811053023,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,,,,20151231,0,03/15/2016 12:00:00 AM,"(37.794331003246846, -122.39581105302317)",4,1,10,28855,6
1612654,Sunset Mercantile/Outer Sunset Farmers Market & Mercantile,Truck,1835000,37TH AVE: QUINTARA ST to RIVERA ST (2100 - 2199),2155 37TH AVE,2094006,2094,6,22MFF-00031,REQUESTED,Multiple Food Trucks & Food Types,5984527.62,2100736.237,37.7473265465412,-122.496280672705,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00031&ExportPDF=1&Filename=22MFF-00031_schedule.pdf,,,,20220421,0,11/15/2022 12:00:00 AM,"(37.74732654654123, -122.49628067270531)",1,8,3,29491,35
1658690,Bonito Poke,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),430 CALIFORNIA ST,239029,239,29,22MFF-00070,APPROVED,Bonito Poke Bowls & Various Drinks,6012181.836,2116889.979,37.793262206923,-122.401789091362,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00070&ExportPDF=1&Filename=22MFF-00070_schedule.pdf,,,11/09/2022 12:00:00 AM,20221109,0,11/15/2023 12:00:00 AM,"(37.793262206923096, -122.4017890913628)",4,1,10,28854,6
1652620,"Off the Grid Services, LLC",Truck,2953000,BERRY ST: 03RD ST to 04TH ST (100 - 199),185 BERRY ST,3803005,3803,5,22MFF-00036,APPROVED,everything except for hot dogs,6014943.869,2110666.298,37.7763271477899,-122.391796821076,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00036&ExportPDF=1&Filename=22MFF-00036_schedule.pdf,,,11/22/2022 12:00:00 AM,20221019,0,11/15/2023 12:00:00 AM,"(37.77632714778992, -122.39179682107691)",6,2,9,28856,20
1652621,"Off the Grid Services, LLC",Truck,3143000,BROADWAY: DAVIS ST to FRONT ST (50 - 99),90 BROADWAY,140007,140,7,22MFF-00036,APPROVED,everything except for hot dogs,6012853.387,2119060.762,37.7992601135022,-122.399617948655,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00036&ExportPDF=1&Filename=22MFF-00036_schedule.pdf,,,11/22/2022 12:00:00 AM,20221019,0,11/15/2023 12:00:00 AM,"(37.799260113502285, -122.39961794865545)",3,1,10,28860,6
1652610,"Off the Grid Services, LLC",Truck,2953000,BERRY ST: 03RD ST to 04TH ST (100 - 199),185 BERRY ST,3803005,3803,5,22MFF-00035,APPROVED,everything except for hot dogs,6014943.869,2110666.298,37.7763271477899,-122.391796821076,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00035&ExportPDF=1&Filename=22MFF-00035_schedule.pdf,,,11/22/2022 12:00:00 AM,20221019,0,11/15/2023 12:00:00 AM,"(37.77632714778992, -122.39179682107691)",6,2,9,28856,20
1652619,"Off the Grid Services, LLC",Truck,254000,04TH ST: HOWARD ST to CLEMENTINA ST (200 - 267),250 04TH ST,3733008,3733,8,22MFF-00036,APPROVED,everything except for hot dogs,6012012.497,2112922.911,37.7823601210175,-122.402095994563,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00036&ExportPDF=1&Filename=22MFF-00036_schedule.pdf,,,11/22/2022 12:00:00 AM,20221019,0,11/15/2023 12:00:00 AM,"(37.78236012101754, -122.40209599456323)",6,2,9,28853,34
1652625,"Off the Grid Services, LLC",Truck,8794000,MARY ST: MINNA ST to NATOMA ST (24 - 69),44 MARY ST,3725127,3725,127,22MFF-00038,APPROVED,Multiple Food Trucks & Food Types,6010698.26308,2112589.92108,37.7813723676486,-122.406619213445,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00038&ExportPDF=1&Filename=22MFF-00038_schedule.pdf,,,11/22/2022 12:00:00 AM,20221019,0,11/15/2023 12:00:00 AM,"(37.781372367648615, -122.40661921344578)",14,2,9,28853,34
1652623,"Off the Grid Services, LLC",Truck,3080000,BRANNAN ST: 04TH ST to 05TH ST (500 - 599),525 BRANNAN ST,3786028,3786,28,22MFF-00037,APPROVED,Everything,6013436.375,2111128.797,37.7775132646755,-122.397044134481,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00037&ExportPDF=1&Filename=22MFF-00037_schedule.pdf,,,11/22/2022 12:00:00 AM,20221019,0,11/15/2023 12:00:00 AM,"(37.77751326467553, -122.3970441344819)",6,2,9,28856,34
1652622,"Off the Grid Services, LLC",Truck,3075000,BRANNAN ST: STANFORD ST to JACK LONDON ALY (324 - 353),340 BRANNAN ST,3775015,3775,15,22MFF-00037,APPROVED,Everything,6014566.387,2112472.164,37.7812646860228,-122.393229041537,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00037&ExportPDF=1&Filename=22MFF-00037_schedule.pdf,,,11/22/2022 12:00:00 AM,20221019,0,11/15/2023 12:00:00 AM,"(37.781264686022816, -122.3932290415377)",6,2,9,28856,6
